"109學年度學科能力測驗
各科級分人數百分比累計表",,,,,,,,,,,,,
級分,國文,,,,英文,,,,數學,,,,
,人數,百分比,"累計
人數","累計
百分比",人數,百分比,"累計
人數","累計
百分比",人數,百分比,"累計
人數","累計
百分比",
15,"4,274",3.26,"131,272",100.00,"6,025",4.60,"131,054",100.00,"14,489",11.22,"129,087",100.00,
14,"11,069",8.43,"126,998",96.74,"10,439",7.97,"125,029",95.40,"11,334",8.78,"114,598",88.78,
13,"19,540",14.89,"115,929",88.31,"12,916",9.86,"114,590",87.44,"8,828",6.84,"103,264",80.00,
12,"23,182",17.66,"96,389",73.43,"12,129",9.25,"101,674",77.58,"8,891",6.89,"94,436",73.16,
11,"21,439",16.33,"73,207",55.77,"11,272",8.60,"89,545",68.33,"9,098",7.05,"85,545",66.27,
10,"17,564",13.38,"51,768",39.44,"10,580",8.07,"78,273",59.73,"8,050",6.24,"76,447",59.22,
9,"11,878",9.05,"34,204",26.06,"9,657",7.37,"67,693",51.65,"9,400",7.28,"68,397",52.99,
8,"7,769",5.92,"22,326",17.01,"9,164",6.99,"58,036",44.28,"9,173",7.11,"58,997",45.70,
7,"5,254",4.00,"14,557",11.09,"8,629",6.58,"48,872",37.29,"7,804",6.05,"49,824",38.60,
6,"3,627",2.76,"9,303",7.09,"9,088",6.93,"40,243",30.71,"9,107",7.05,"42,020",32.55,
5,"2,544",1.94,"5,676",4.32,"10,073",7.69,"31,155",23.77,"9,116",7.06,"32,913",25.50,
4,"1,771",1.35,"3,132",2.39,"10,314",7.87,"21,082",16.09,"8,330",6.45,"23,797",18.43,
3,"1,059",0.81,"1,361",1.04,"9,097",6.94,"10,768",8.22,"8,928",6.92,"15,467",11.98,
2,276,0.21,302,0.23,"1,626",1.24,"1,671",1.28,"5,336",4.13,"6,539",5.07,
1,19,0.01,26,0.02,41,0.03,45,0.03,"1,147",0.89,"1,203",0.93,
0,7,0.01,7,0.01,4,0.00,4,0.00,56,0.04,56,0.04,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
級分,社會,,,,自然,,,,,,,,
,人數,百分比,"累計
人數","累計
百分比",人數,百分比,"累計
人數","累計
百分比",,,,,
15,"4,206",3.79,"111,101",100.00,"4,313",4.31,"100,023",100.00,,,,,
14,"7,392",6.65,"106,895",96.21,"5,505",5.50,"95,710",95.69,,,,,
13,"14,018",12.62,"99,503",89.56,"6,874",6.87,"90,205",90.18,,,,,
12,"13,762",12.39,"85,485",76.94,"7,525",7.52,"83,331",83.31,,,,,
11,"14,660",13.20,"71,723",64.56,"7,699",7.70,"75,806",75.79,,,,,
10,"17,234",15.51,"57,063",51.36,"7,794",7.79,"68,107",68.09,,,,,
9,"11,813",10.63,"39,829",35.85,"7,305",7.30,"60,313",60.30,,,,,
8,"11,628",10.47,"28,016",25.22,"7,935",7.93,"53,008",53.00,,,,,
7,"7,078",6.37,"16,388",14.75,"9,495",9.49,"45,073",45.06,,,,,
6,"5,250",4.73,"9,310",8.38,"12,038",12.04,"35,578",35.57,,,,,
5,"3,423",3.08,"4,060",3.65,"12,947",12.94,"23,540",23.53,,,,,
4,564,0.51,637,0.57,"8,463",8.46,"10,593",10.59,,,,,
3,58,0.05,73,0.07,"1,989",1.99,"2,130",2.13,,,,,
2,8,0.01,15,0.01,129,0.13,141,0.14,,,,,
1,7,0.01,7,0.01,3,0.00,12,0.01,,,,,
0,0,0.00,0,0.00,9,0.01,9,0.01,,,,,
,,,,,,,,,,,,,
